id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1265697606237409285,1265697606237409285,1590600799000,2020-05-28,02:33:19,,1234862717049147405,i9macman,JAY_T,,"im so fcking mad right now, im feel so sad about George Floyd, like he literally says ""I can't breathe"" and this nigga cop aint doing anything. #icantbreathe #BlackLivesMatter #GeorgeFloyd #MinneapolisPoliceMurderdHim #AllLivesMatter",[],[],[],0,0,0,"['#icantbreathe', '#blacklivesmatter', '#georgefloyd', '#minneapolispolicemurderdhim', '#alllivesmatter']",[],https://twitter.com/I9Macman/status/1265697606237409285,False,,0,,,,,,,"[{'user_id': '1234862717049147405', 'username': 'I9Macman'}]",,,,
1265697315546976256,1265697315546976256,1590600730000,2020-05-28,02:32:10,,3307871026,319mplsgirl,Nancy,,"SAY HIS NAME: GEORGE FLOYD
@CityMinneapolis @CityStPaul @StarTribune @citypages @chicagotribune @Suntimes @nytimes @latimes @EBONYMag @TIME @Kaepernick7 @MrChuckD @FINALLEVEL @NBCNews @ABC @CBSNews @WCCO @kare11 @FOX9
#GeorgeFloyd #icantbreathe #MinneapolisPoliceMurderdHim pic.twitter.com/ZhA86nkpGe","['cityminneapolis', 'citystpaul', 'startribune', 'citypages', 'chicagotribune', 'suntimes', 'nytimes', 'latimes', 'ebonymag', 'time', 'kaepernick7', 'mrchuckd', 'finallevel', 'nbcnews', 'abc', 'cbsnews', 'wcco', 'kare11', 'fox9']",[],"['https://pbs.twimg.com/media/EZCo-fLWoAIHSqo.jpg', 'https://pbs.twimg.com/media/EZCo-fCWAAEtp1V.jpg']",0,2,4,"['#georgefloyd', '#icantbreathe', '#minneapolispolicemurderdhim']",[],https://twitter.com/319MplsGirL/status/1265697315546976256,False,,0,,,,,,,"[{'user_id': '3307871026', 'username': '319MplsGirL'}, {'user_id': '24884150', 'username': 'CityMinneapolis'}, {'user_id': '952009182600818688', 'username': 'CityStPaul'}, {'user_id': '17348525', 'username': 'StarTribune'}, {'user_id': '21158274', 'username': 'citypages'}, {'user_id': '7313362', 'username': 'chicagotribune'}, {'user_id': '12811952', 'username': 'Suntimes'}, {'user_id': '807095', 'username': 'nytimes'}, {'user_id': '16664681', 'username': 'latimes'}, {'user_id': '39008044', 'username': 'EBONYMag'}, {'user_id': '14293310', 'username': 'TIME'}, {'user_id': '45055696', 'username': 'Kaepernick7'}, {'user_id': '35831704', 'username': 'MrChuckD'}, {'user_id': '28420827', 'username': 'FINALLEVEL'}, {'user_id': '14173315', 'username': 'NBCNews'}, {'user_id': '28785486', 'username': 'ABC'}, {'user_id': '15012486', 'username': 'CBSNews'}, {'user_id': '13000872', 'username': 'WCCO'}, {'user_id': '13001192', 'username': 'kare11'}, {'user_id': '9229732', 'username': 'FOX9'}]",,,,
1265696973509873664,1265696973509873664,1590600648000,2020-05-28,02:30:48,,1250066648708583438,mikes_minutes,Mike's Minute,," https://youtu.be/YOWzc0xRlx8 

This has got to be the most VILE, DISGUSTING, DESPICABLE THING I HAVE EVER SEEN!!!! My thoughts and prayers go out to George Floyd and his family during this time #GeorgeFloyd #JusticeForGeorgeFloyd #icantbreathe #BlackLivesMatter #RIPGeorgeFloyd #Murder",[],['https://youtu.be/YOWzc0xRlx8'],[],0,0,0,"['#georgefloyd', '#justiceforgeorgefloyd', '#icantbreathe', '#blacklivesmatter', '#ripgeorgefloyd', '#murder']",[],https://twitter.com/Mikes_minutes/status/1265696973509873664,False,,0,,,,,,,"[{'user_id': '1250066648708583438', 'username': 'Mikes_minutes'}]",,,,
1265696077929472003,1265696077929472003,1590600435000,2020-05-28,02:27:15,,962083232203395072,rosepatrice6,Rose Patrice ☭,,"George Floyd was a human who lived in a country built on violent imperialism. He survived in an empire created by racists, for racists. The empire that killed Floyd needs to be dismantled.
#BlackLivesMatter #icantbreathe #GeorgeFloyd #JusticeForGeorgeFloyd #LaunchAmerica pic.twitter.com/8gD6WpJTTk",[],[],"['https://pbs.twimg.com/media/EZCn3V7WkAE5oFD.jpg', 'https://pbs.twimg.com/media/EZCn31HWsAEfN2b.jpg']",3,11,77,"['#blacklivesmatter', '#icantbreathe', '#georgefloyd', '#justiceforgeorgefloyd', '#launchamerica']",[],https://twitter.com/RosePatrice6/status/1265696077929472003,False,,0,,,,,,,"[{'user_id': '962083232203395072', 'username': 'RosePatrice6'}]",,,,
1265695675947405315,1265695675947405315,1590600339000,2020-05-28,02:25:39,,291541664,scarfacecruz,CRUZ,,"'I can't breathe:' Death of unarmed black man George Floyd leads to firi...  https://youtu.be/lirHz93qJ50 
#GeorgeFloyd #BlackLivesMatter #JusticeForGeorgeFloyd #icantbreathe #MinneapolisPoliceMurderdHim #racism",[],['https://youtu.be/lirHz93qJ50'],[],0,0,0,"['#georgefloyd', '#blacklivesmatter', '#justiceforgeorgefloyd', '#icantbreathe', '#minneapolispolicemurderdhim', '#racism']",[],https://twitter.com/ScarfaceCruz/status/1265695675947405315,False,,0,,,,,,,"[{'user_id': '291541664', 'username': 'ScarfaceCruz'}]",,,,
1265695577091825666,1265695577091825666,1590600315000,2020-05-28,02:25:15,,1192404312334487553,http_chrvs,𝚝𝚊𝚕𝚒𝚝𝚑𝚊 ✊🏽✊🏾✊🏿,,"I'm so done with these ignorant people who kill innocent and mostly black men and women! George Floyd didn't do ANYTHING WRONG! He was arrested on suspicion of forgery, which is a NON VIOLENT CRIME. #icantbreathe #JusticeForGeorgeFloyd #BlackLivesMatter #GeorgeFloyd  pic.twitter.com/tPks5BnvPB",[],[],['https://pbs.twimg.com/media/EZCnakEXsAAGwDB.jpg'],1,0,3,"['#icantbreathe', '#justiceforgeorgefloyd', '#blacklivesmatter', '#georgefloyd']",[],https://twitter.com/http_chrvs/status/1265695577091825666,False,,0,,,,,,,"[{'user_id': '1192404312334487553', 'username': 'http_chrvs'}]",,,,
1265695480085962752,1265695480085962752,1590600292000,2020-05-28,02:24:52,,1554515040,ninimarie7,Nancy Warnock,,Colin Kaepernick is banned from the NFL for peacefully protesting deaths like George Floyd's. #JusticeForGeorgeFloyd #GeorgeFloyd #icantbreathe #MinneapolisPoliceMurderdHim #ColinKaepernick,[],[],[],1,0,1,"['#justiceforgeorgefloyd', '#georgefloyd', '#icantbreathe', '#minneapolispolicemurderdhim', '#colinkaepernick']",[],https://twitter.com/NiniMarie7/status/1265695480085962752,False,,0,,,,,,,"[{'user_id': '1554515040', 'username': 'NiniMarie7'}]",,,,
1265695426189156355,1265695426189156355,1590600279000,2020-05-28,02:24:39,,1083931802258026496,destnotstressed,Destinee,,"@MikeFreemanHCA RE: George Floyd - I am asking for ALL four officers to be arrested, charged, held accountable for their grossly negligent actions that resulted in the loss of George's life. #JusticeForGeorgeFloyd #icantbreathe #GeorgeFloyd #BlackLivesMatter",['mikefreemanhca'],[],[],0,0,1,"['#justiceforgeorgefloyd', '#icantbreathe', '#georgefloyd', '#blacklivesmatter']",[],https://twitter.com/destnotstressed/status/1265695426189156355,False,,0,,,,,,,"[{'user_id': '1083931802258026496', 'username': 'destnotstressed'}, {'user_id': '183345567', 'username': 'MikeFreemanHCA'}]",,,,
1265695360372092929,1265695360372092929,1590600264000,2020-05-28,02:24:24,,1229448678408097792,liveolin,Olin Live,,"The Truth About The Death Of George Floyd By The Police

 https://www.youtube.com/watch?v=PpfqvrVbHoA …
#icantbreath #MinneapolisPoliceMurderdHim #GeorgeFloyd #BlackLivesMatter #icantbreathe  Make Whites Great Again  pic.twitter.com/BaqQk7tgL3",[],['https://www.youtube.com/watch?v=PpfqvrVbHoA'],['https://pbs.twimg.com/media/EZCnMvfWsAMse23.jpg'],0,0,1,"['#icantbreath', '#minneapolispolicemurderdhim', '#georgefloyd', '#blacklivesmatter', '#icantbreathe']",[],https://twitter.com/LiveOlin/status/1265695360372092929,False,,0,,,,,,,"[{'user_id': '1229448678408097792', 'username': 'LiveOlin'}]",,,,
1265694769717678081,1265694769717678081,1590600123000,2020-05-28,02:22:03,,1129844743708577792,senoritasloan,sloan | JUSTICE FOR GEORGE,,i find it APPALLING that when I called DA Mike Freeman of Minneapolis to talk about how George Floyd deserves justice the number had been disconnected so that the DA could not be contacted about his case anymore. unbelievable #BlackLivesMatter #GeorgeFloyd #icantbreathe #racism,[],[],[],0,2,3,"['#blacklivesmatter', '#georgefloyd', '#icantbreathe', '#racism']",[],https://twitter.com/senoritasloan/status/1265694769717678081,False,,0,,,,,,,"[{'user_id': '1129844743708577792', 'username': 'senoritasloan'}]",,,,
